ICAO,Name,State/Territory,Country,Timezone,Latitude,Longitude
KALO,Waterloo Regional Airport,Iowa,United States,America/Chicago,42.55709838867188,-92.40029907
KATY,Watertown Regional Airport,South Dakota,United States,America/Chicago,44.91400146,-97.15470123
CYQH,Watson Lake Airport,Yukon,Canada,America/Vancouver,60.11640167236328,-128.8220062
KAUW,Wausau Downtown Airport,Wisconsin,United States,America/Chicago,44.92620087,-89.62660217
KCWA,Central Wisconsin Airport,Wisconsin,United States,America/Chicago,44.77759933,-89.66680145
ZSWH,Weihai Dashuibo Airport,,China,Asia/Shanghai,37.18709945678711,122.22899627685548
KEAT,Pangborn Memorial Airport,Washington,United States,America/Los_Angeles,47.39889908,-120.2070007
ZSWZ,Wenzhou Longwan International Airport,,China,Asia/Shanghai,27.91220092773437,120.85199737548828
KPBI,Palm Beach International Airport,Florida,United States,America/New_York,26.68320083618164,-80.09559631
KWYS,Yellowstone Airport,Montana,United States,America/Denver,44.68840027,-111.1179962
CYXY,Whitehorse / Erik Nielsen International Airport,Yukon,Canada,America/Vancouver,60.70959854,-135.0670013
KHPN,Westchester County Airport,New York,United States,America/New_York,41.06700134277344,-73.70760345
KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,Texas,United States,America/Chicago,33.98880005,-98.49189758
KICT,Wichita Dwight D. Eisenhower National Airport,Kansas,United States,America/Chicago,37.649898529052734,-97.43309784
KAVP,Wilkes-Barre/Scranton International Airport,Pennsylvania,United States,America/New_York,41.33850098,-75.7233963
KISN,Williston,North Dakota,United States,America/Chicago,48.17789841,-103.6419983
KXWA,Williston Basin International Airport,North Dakota,United States,America/Chicago,48.260863,-103.75116
KILG,Wilmington Airport,Delaware,United States,America/New_York,39.67869949,-75.60649872
KILM,Wilmington International Airport,North Carolina,United States,America/New_York,34.270599365234375,-77.90260315
FYWH,Hosea Kutako International Airport,,Namibia,Africa/Windhoek,-22.4799,17.4709
CYQG,Windsor International Airport,Ontario,Canada,America/Toronto,42.27560043334961,-82.95559692
CYWG,Winnipeg / James Armstrong Richardson International Airport,Manitoba,Canada,America/Winnipeg,49.90999985,-97.23989868
KONA,Winona Municipal Airport Max Conrad Field,Minnesota,United States,America/Chicago,44.07722,-91.70833
KINT,Smith Reynolds Airport,North Carolina,United States,America/New_York,36.13370132446289,-80.22200012
KOLF,L M Clayton Airport,Montana,United States,America/Denver,48.0945015,-105.5749969
KORH,Worcester Regional Airport,Massachusetts,United States,America/New_York,42.26729965209961,-71.8757019
KOTG,Worthington Municipal Airport,Minnesota,United States,America/Chicago,43.65477,-95.577364
EPWR,Copernicus Wrocaw Airport,,Poland,Europe/Warsaw,51.10269928,16.88579941
ZBUH,Wuhai Airport,,China,Asia/Shanghai,39.7934,106.7993
ZHHH,Wuhan Tianhe International Airport,,China,Asia/Shanghai,30.78380012512207,114.20800018310548
ZSWX,Sunan Shuofang International Airport,,China,Asia/Shanghai,31.49440002,120.4290009
ZPDL,Dali Fengyi Airport,,China,Asia/Shanghai,25.649401,100.319
ZSAM,Xiamen Gaoqi International Airport,,China,Asia/Shanghai,24.54400062561035,118.12799835205078
ZLXY,Xi'an Xianyang International Airport,,China,Asia/Shanghai,34.44710159301758,108.7519989013672
ZUXC,Xichang Qingshan Airport,,China,Asia/Shanghai,27.98909950256348,102.18399810791016
ZUYI,Xingyi Wanfenglin Airport,,China,Asia/Shanghai,25.08638889,104.9594444
ZLXN,Xining Caojiabao International Airport,,China,Asia/Shanghai,36.5275,102.042999
ZBXZ,Xinzhou Wutaishan Airport,,China,Asia/Shanghai,38.59917,112.96778
KYKM,Yakima Air Terminal McAllister Field,Washington,United States,America/Los_Angeles,46.56819916,-120.5439987
PAYA,Yakutat Airport,Alaska,United States,America/Anchorage,59.50329971,-139.6600037
ZLYA,Yan'an Nanniwan Airport,,China,Asia/Shanghai,36.636902,109.554001
ZSYN,Yancheng Nanyang International Airport,,China,Asia/Shanghai,33.425833,120.203056
VYYY,Yangon International Airport,,Myanmar,Asia/Rangoon,16.907300949099998,96.1332016
ZYYJ,Yanji Chaoyangchuan Airport,,China,Asia/Shanghai,42.88280106,129.451004
KYKN,Chan Gurney Municipal Airport,South Dakota,United States,America/Chicago,42.91669846,-97.3859024
ZSYT,Yantai Penglai International Airport,,China,Asia/Shanghai,37.40169906616211,121.37200164794922
FKYS,Yaounde Nsimalen International Airport,,Cameroon,Africa/Douala,3.722559928894043,11.553299903869627
CYZF,Yellowknife International Airport,Northwest Territories,Canada,America/Edmonton,62.462799072265625,-114.4400024
OEYN,Prince Abdulmohsen Bin Abdulaziz International Airport,,Saudi Arabia,Asia/Riyadh,24.144199,38.0634
RKJY,Yeosu Airport,,South Korea,Asia/Seoul,34.84230041503906,127.61699676513672
UDYZ,Zvartnots International Airport,,Armenia,Asia/Yerevan,40.14730072,44.39590073
ZUYB,Yibin Wuliangye Airport,,China,Asia/Shanghai,28.80055556,104.545
ZHYC,Yichang Sanxia Airport,,China,Asia/Shanghai,30.55655,111.479988
ZYLD,Yichun Lindu Airport,,China,Asia/Shanghai,47.75205556,129.019125
ZLIC,Yinchuan Hedong International Airport,,China,Asia/Shanghai,38.481899,106.009003
ZSYW,Yiwu Airport,,China,Asia/Shanghai,29.34469986,120.0319977
WAHI,Yogyakarta International Airport,,Indonesia,Asia/Jakarta,-7.904,110.06
KYNG,Youngstown Warren Regional Airport,Ohio,United States,America/New_York,41.26070023,-80.67910004
KYIP,Willow Run Airport,Michigan,United States,America/New_York,42.23789978,-83.53040314
ZLYL,Yulin Yuyang Airport,,China,Asia/Shanghai,38.35971,109.590927
KNYL,Yuma International Airport / Marine Corps Air Station Yuma,Arizona,United States,America/Phoenix,32.65660095,-114.6060028
ZBYC,Yuncheng Yanhu International Airport,,China,Asia/Shanghai,35.116391,111.0313889
ZLYS,Yushu Batang Airport,,China,Asia/Shanghai,32.83917,97.03889
MMZC,General Leobardo C. Ruiz International Airport,,Mexico,America/Mexico_City,22.89710045,-102.6869965
LDZA,Zagreb Franjo Tuman International Airport,,Croatia,Europe/Zagreb,45.74290085,16.06879997
HTZA,Abeid Amani Karume International Airport,,Tanzania,Africa/Dar_es_Salaam,-6.222020149,39.22489929
ZGDY,Zhangjiajie Hehua International Airport,,China,Asia/Shanghai,29.1028,110.443001
ZBZJ,Zhangjiakou Ningyuan Airport,,China,Asia/Shanghai,40.73861,114.93028
ZLZY,Zhangye Ganzhou Airport,,China,Asia/Shanghai,38.80222,100.675
ZGZJ,Zhanjiang Wuchuan International Airport,,China,Asia/Shanghai,21.214399,110.358002
ZPZT,Zhaotong Airport,,China,Asia/Shanghai,27.32559967041016,103.75499725341795
ZHCC,Zhengzhou Xinzheng International Airport,,China,Asia/Shanghai,34.519699096699995,113.8410034
ZSZS,Zhoushan Putuoshan International Airport,,China,Asia/Shanghai,29.93420029,122.3619995
